10,482,492
10,478,488
9,481,490
6,482,488
13,480,493
9,475,484
8,481,489
11,477,488
13,481,494
12,475,487
11,480,491
9,479,488
11,481,492
10,480,490
11,479,490
10,479,489
8,476,484
14,180,490
11,180,492
7,180,491
11,180,491
11,180,495
8,180,493
10,180,490
9,180,479
12,180,488
8,180,487
7,180,489
10,180,487
8,180,494
10,180,489
11,180,485
10,180,486
10,180,491
5,180,487
9,480,489
7,479,486
10,475,485
8,478,486
9,478,487
8,479,487
6,478,484
11,478,489
8,480,488
9,482,491
8,483,491
7,478,485
5,479,484
8,480,0
8,477,0
12,480,0
9,482,0
8,484,0
7,478,0
10,478,0
9,477,0
8,481,0
6,478,0
16,481,0
7,481,0
10,476,0
11,478,0
10,479,0
11,479,0
9,479,0
10,481,491
10,482,492
